cluster,nome_cluster,termos_relevantes
0,Data / BI / Analytics — Dados e SQL,"manager, data, analyst, senior, engineer, developer, consultant, business, rehabilitation, analytics"
1,Data / BI / Analytics — Dados e SQL,"manager, analyst, senior, data, engineer, business, operations, lead, sr., analytics"
2,Data / BI / Analytics — Dados e SQL,"analyst, data, engineer, manager, senior, scientist, business, lead, volunteer, developer"
10,Desenvolvimento de Software — Backend e APIs,"engineer, senior, manager, software, developer, lead, nurse, analyst, therapist, assistant"
11,Desenvolvimento de Software — Backend e APIs,"developer, engineer, software, senior, manager, restaurant, java, lead, therapist, specialist"
12,Desenvolvimento de Software — Backend e APIs,"engineer, therapist, senior, nurse, software, health, registered, manager, developer, travel"
20,Cloud / DevOps / Infraestrutura — Dados e SQL,"engineer, senior, developer, architect, lead, cloud, manager, devops, data, infrastructure"
21,Cloud / DevOps / Infraestrutura — Engineer / Senior / Manager,"engineer, senior, manager, software, lead, security, systems, analyst, architect, engineering"
22,Cloud / DevOps / Infraestrutura — Engineer / Senior / Software,"engineer, senior, software, manager, developer, architect, security, lead, analyst, systems"
30,Marketing / Conteúdo / Vendas — Marketing digital,"sales, consultant, manager, advisor, marketing, retail, senior, beauty, executive, time"
31,Marketing / Conteúdo / Vendas — Vendas e CRM,"manager, sales, salon, assistant, consultant, time, account, part, executive, product"
32,Marketing / Conteúdo / Vendas — DevOps e Containers,"manager, account, sales, executive, marketing, senior, associate, assistant, representative, development"
33,Marketing / Conteúdo / Vendas — Marketing digital,"manager, sales, account, executive, assistant, marketing, volunteer, store, supervisor, time"
40,Design / UX / UI — DevOps e Containers,"nurse, travel, engineer, technologist, registered, senior, manager, care, physician, per"
41,Design / UX / UI — DevOps e Containers,"yearly, 000, physician, technician, manager, stylist, hair, usa, cook, nurse"
42,Design / UX / UI — DevOps e Containers,"physician, travel, technologist, locum, engineer, manager, health, nurse, professional, allied"
43,Design / UX / UI — DevOps e Containers,"conductor, entrega, domicilio, des, ventas, gerente, temps, comerciales, spécialiste, superviseur"
44,Design / UX / UI — Engineer / Manager / Senior,"engineer, manager, senior, nurse, registered, time, supervisor, assistant, lead, technologist"
50,Produto / Projeto / Gestão — Vendas e CRM,"manager, project, senior, engineer, construction, analyst, business, assistant, lead, superintendent"
51,Produto / Projeto / Gestão — Gestão ágil,"manager, project, senior, product, planning, construction, technical, management, assistant, analyst"
52,Produto / Projeto / Gestão — Gestão ágil,"manager, project, senior, analyst, construction, engineer, nurse, management, program, registered"
60,Educação / Treinamento — Ensino e treinamento,"manager, teacher, lead, nurse, supervisor, assistant, volunteer, training, hourly, tutor"
61,Educação / Treinamento — DevOps e Containers,"associate, sales, lead, manager, time, part, store, supervisor, dsw, leader"
62,Educação / Treinamento — Nurse / Registered / Assistant,"nurse, registered, assistant, health, manager, time, care, professor, clinical, medical"
63,Educação / Treinamento — DevOps e Containers,"teacher, assistant, nurse, manager, instructor, professor, time, physician, education, school"
70,Finanças / Operações — DevOps e Containers,"accountant, manager, senior, financial, accounting, analyst, operations, finance, assistant, controller"
71,Finanças / Operações — DevOps e Containers,"manager, supervisor, hourly, training, senior, tax, assistant, unit, analyst, specialist"
72,Finanças / Operações — DevOps e Containers,"manager, senior, accountant, analyst, financial, assistant, accounting, finance, supervisor, tax"
73,Finanças / Operações — DevOps e Containers,"senior, financial, analyst"
80,Recursos Humanos / Pessoas — Vendas e CRM,"manager, shift, service, sales, customer, representative, supervisor, assistant, senior, beauty"
81,Recursos Humanos / Pessoas — DevOps e Containers,"manager, nurse, physician, assistant, registered, permanent, volunteer, health, time, supervisor"
82,Recursos Humanos / Pessoas — Finanças e operações,"manager, assistant, supervisor, senior, store, time, operations, engineer, lead, shift"
83,Recursos Humanos / Pessoas — Travel / Week / Technologist,"travel, week, technologist, health, allied, professional, surg, med, per, nurse"
84,Recursos Humanos / Pessoas — DevOps e Containers,"nurse, registered, health, care, manager, physician, assistant, time, medical, technologist"
90,Atendimento / Suporte — Vendas e CRM,"service, customer, representative, professional, tax, first, year, manager, store, retail"
91,Atendimento / Suporte — Vendas e CRM,"manager, time, assistant, nurse, service, supervisor, part, sales, lead, senior"
92,Atendimento / Suporte — Vendas e CRM,"manager, nurse, registered, assistant, service, customer, volunteer, senior, sales, time"
93,Atendimento / Suporte — Vendas e CRM,"service, supervisor, department, manager, customer, leader, unit, restaurant, services, nurse"
100,Outros / Multidisciplinar — Manager / Nurse / Senior,"manager, nurse, senior, health, technologist, registered, engineer, travel, assistant, supervisor"
